-4.59E+04,-1.50E+05
-4.34E+04,-3.69E+04
-3.83E+04,-3.69E+04
-3.83E+04,-3.69E+04
-2.82E+04,-1.47E+05
-2.74E+04,-1.50E+05
-2.74E+04,-1.50E+05
-2.32E+04,-3.69E+04
-2.32E+04,-3.69E+04
-2.16E+04,-1.47E+05
-1.51E+04,-1.47E+05
-1.05E+04,-2.64E+04
-1.05E+04,4.75E+04
-8.81E+03,-1.50E+05
-8.80E+03,-1.50E+05
-8.51E+03,-1.47E+05
-4.59E+03,-1.47E+05
-3.73E+03,4.75E+04
-3.72E+03,4.76E+04
-1.96E+03,-1.47E+05
1.90E+03,-3.69E+04
1.96E+03,-1.47E+05
4.59E+03,-1.47E+05
8.51E+03,-1.47E+05
9.73E+03,-1.50E+05
9.75E+03,-1.50E+05
1.31E+04,4.76E+04
1.33E+04,-2.65E+04
1.33E+04,-2.64E+04
1.51E+04,-1.47E+05
2.16E+04,-1.47E+05
2.82E+04,-1.47E+05
2.82E+04,-1.50E+05
2.83E+04,-1.50E+05
3.70E+04,-2.64E+04
4.67E+04,-1.50E+05
4.67E+04,-1.50E+05
6.52E+04,-1.50E+05
